author,shortname,id,url,abstract
Elfar Adalsteinsson,Adalsteinsson_Elfar,arXiv:1608.03907,https://arxiv.org/abs/1608.03907,"Abstract:  We present a robust method to correct for motion and deformations for
in-utero volumetric MRI time series. Spatio-temporal analysis of dynamic MRI
requires robust alignment across time in the presence of substantial and
unpredictable motion. We make a Markov assumption on the nature of deformations
to take advantage of the temporal structure in the image data. Forward message
passing in the corresponding hidden Markov model (HMM) yields an estimation
algorithm that only has to account for relatively small motion between
consecutive frames. We demonstrate the utility of the temporal model by showing
that its use improves the accuracy of the segmentation propagation through
temporal registration. Our results suggest that the proposed model captures
accurately the temporal dynamics of deformations in in-utero MRI time series."
Elfar Adalsteinsson,Adalsteinsson_Elfar,arXiv:0907.2083,https://arxiv.org/abs/0907.2083,"Abstract:  A linear inverse problem is proposed that requires the determination of
multiple unknown signal vectors. Each unknown vector passes through a different
system matrix and the results are added to yield a single observation vector.
Given the matrices and lone observation, the objective is to find a
simultaneously sparse set of unknown vectors that solves the system. We will
refer to this as the multiple-system single-output (MSSO) simultaneous sparsity
problem. This manuscript contrasts the MSSO problem with other simultaneous
sparsity problems and conducts a thorough initial exploration of algorithms
with which to solve it. Seven algorithms are formulated that approximately
solve this NP-Hard problem. Three greedy techniques are developed (matching
pursuit, orthogonal matching pursuit, and least squares matching pursuit) along
with four methods based on a convex relaxation (iteratively reweighted least
squares, two forms of iterative shrinkage, and formulation as a second-order
cone program). The algorithms are evaluated across three experiments: the first
and second involve sparsity profile recovery in noiseless and noisy scenarios,
respectively, while the third deals with magnetic resonance imaging
radio-frequency excitation pulse design."
Akintunde Akinwande,Akinwande_Akintunde,arXiv:1812.07380,https://arxiv.org/abs/1812.07380,"Abstract:  We present a Machine Learning-based method for tomographic reconstruction of
dense layered objects, with range of projection angles limited to $\pm
$10$^\circ$. Whereas previous approaches to phase tomography generally require
two steps, first to retrieve phase projections from intensity projections and
then perform tomographic reconstruction on the retrieved phase projections, in
our work a physics-informed pre-processor followed by a Deep Neural Network
(DNN) conduct the three-dimensional reconstruction directly from the intensity
projections. We demonstrate this single-step method experimentally in the
visible optical domain on a scaled up integrated circuit phantom. We show that
even under conditions of highly attenuated photon fluxes a DNN trained only on
synthetic data can be used to successfully reconstruct physical samples
disjoint from the synthetic training set. Thus, the need of producing a large
number of physical examples for training is ameliorated. The method is
generally applicable to tomography with electromagnetic or other types of
radiation at all bands."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1810.01963,https://arxiv.org/abs/1810.01963,"Abstract:  Efficiently scheduling data processing jobs on distributed compute clusters
requires complex algorithms. Current systems, however, use simple generalized
heuristics and ignore workload structure, since developing and tuning a bespoke
heuristic for each workload is infeasible. In this paper, we show that modern
machine learning techniques can generate highly-efficient policies
automatically.
Decima uses reinforcement learning (RL) and neural networks to learn
workload-specific scheduling algorithms without any human instruction beyond
specifying a high-level objective such as minimizing average job completion
time. Off-the-shelf RL techniques, however, cannot handle the complexity and
scale of the scheduling problem. To build Decima, we had to develop new
representations for jobs' dependency graphs, design scalable RL models, and
invent new RL training methods for continuous job arrivals.
Our prototype integration with Spark on a 25-node cluster shows that Decima
outperforms several heuristics, including hand-tuned ones, by at least 21%.
Further experiments with an industrial production workload trace demonstrate
that Decima delivers up to a 17% reduction in average job completion time and
scales to large clusters."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1809.05088,https://arxiv.org/abs/1809.05088,"Abstract:  With the growing usage of Bitcoin and other cryptocurrencies, many
scalability challenges have emerged. A promising scaling solution, exemplified
by the Lightning Network, uses a network of bidirectional payment channels that
allows fast transactions between two parties. However, routing payments on
these networks efficiently is non-trivial, since payments require finding paths
with sufficient funds, and channels can become unidirectional over time
blocking further transactions through them. Today's payment channel networks
exacerbate these problems by attempting to deliver all payments atomically. In
this paper, we present the Spider network, a new packet-switched architecture
for payment channel networks. Spider splits payments into transaction units and
transmits them over time across different paths. Spider uses congestion
control, payment scheduling, and imbalance-aware routing to optimize delivery
of payments. Our results show that Spider improves the volume and number of
successful payments on the network by 10-45% and 5-40% respectively compared to
state-of-the-art approaches."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1808.00826,https://arxiv.org/abs/1808.00826,"Abstract:  Prior research has proposed technical solutions to use peer-to-peer (P2P)
content delivery to serve Internet video, showing that it can reduce costs to
content providers. Yet, such methods have not become widespread except for a
few niche instances. An important challenge is incentivization: what tangible
benefits does P2P content delivery offer users who bring resources to the
table? In this paper, we ask whether monetary incentives can help attract peers
in P2P content delivery systems. We commissioned a professional survey of
people around theUnited States to answer several relevant questions. We found
that 51% of the 876 respondents--substantially larger than our
expectations--answered ""yes"" to whether they would participate for suitable
financial incentives. Encouraged by the results of the survey, we propose
Gringotts, a system to structure incentives and securely incorporate P2P
delivery into content delivery systems. Gringotts provides a novel Proof of
Delivery mechanism that allows content providers to verify correct delivery of
their files, and shows how to use cryptocurrency to pay peers while guarding
against liars and Sybil attacks."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1807.02264,https://arxiv.org/abs/1807.02264,"Abstract:  We consider reinforcement learning in input-driven environments, where an
exogenous, stochastic input process affects the dynamics of the system. Input
processes arise in many applications, including queuing systems, robotics
control with disturbances, and object tracking. Since the state dynamics and
rewards depend on the input process, the state alone provides limited
information for the expected future returns. Therefore, policy gradient methods
with standard state-dependent baselines suffer high variance during training.
We derive a bias-free, input-dependent baseline to reduce this variance, and
analytically show its benefits over state-dependent baselines. We then propose
a meta-learning approach to overcome the complexity of learning a baseline that
depends on a long sequence of inputs. Our experimental results show that across
environments from queuing systems, computer networks, and MuJoCo robotic
locomotion, input-dependent baselines consistently improve training stability
and result in better eventual policies."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1803.09615,https://arxiv.org/abs/1803.09615,"Abstract:  Homa is a new transport protocol for datacenter networks. It provides
exceptionally low latency, especially for workloads with a high volume of very
short messages, and it also supports large messages and high network
utilization. Homa uses in-network priority queues to ensure low latency for
short messages; priority allocation is managed dynamically by each receiver and
integrated with a receiver-driven flow control mechanism. Homa also uses
controlled overcommitment of receiver downlinks to ensure efficient bandwidth
utilization at high load. Our implementation of Homa delivers 99th percentile
round-trip times less than 15{\mu}s for short messages on a 10 Gbps network
running at 80% load. These latencies are almost 100x lower than the best
published measurements of an implementation. In simulations, Homa's latency is
roughly equal to pFabric and significantly better than pHost, PIAS, and NDP for
almost all message sizes and workloads. Homa can also sustain higher network
loads than pFabric, pHost, or PIAS."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1802.08730,https://arxiv.org/abs/1802.08730,"Abstract:  This paper develops a technique to detect whether the cross traffic competing
with a flow is elastic or not, and shows how to use the elasticity detector to
improve congestion control. If the cross traffic is elastic, i.e., made up of
flows like Cubic or NewReno that increase their rate when they perceive
available bandwidth, then one should use a scheme that competes well with such
traffic. Such a scheme will not be able to control delays because the cross
traffic will not cooperate to maintain low delays. If, however, cross traffic
is inelastic, then one can use a suitable delay-controlled algorithm. Our
elasticity detector uses an asymmetric sinusoidal pulse pattern and estimates
elasticity by computing the frequency response (FFT) of the cross traffic
estimate; we have measured its accuracy to be over 90%. We present the design
and evaluation of Nimbus, a congestion control protocol that uses the
elasticity detector to switch between delay-control and TCP-competitive modes.
Our results on emulated and real-world paths show that Nimbus achieves
throughput comparable to or better than Cubic always, but with delays that are
much lower when cross traffic is inelastic. Unlike BBR, Nimbus is fair to
Cubic, and has significantly lower delay by 40-50 ms. Compared to Copa, which
also switches between a delay-controlling and a TCP-competitive mode, Nimbus is
more robust at correctly detecting the nature of cross traffic, and unlike
Copa, it is usable by a variety of delay-based and TCP-competitive methods."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1802.04948,https://arxiv.org/abs/1802.04948,"Abstract:  Neural networks have been shown to be an effective tool for learning
algorithms over graph-structured data. However, graph representation
techniques---that convert graphs to real-valued vectors for use with neural
networks---are still in their infancy. Recent works have proposed several
approaches (e.g., graph convolutional networks), but these methods have
difficulty scaling and generalizing to graphs with different sizes and shapes.
We present Graph2Seq, a new technique that represents vertices of graphs as
infinite time-series. By not limiting the representation to a fixed dimension,
Graph2Seq scales naturally to graphs of arbitrary sizes and shapes. Graph2Seq
is also reversible, allowing full recovery of the graph structure from the
sequences. By analyzing a formal computational model for graph representation,
we show that an unbounded sequence is necessary for scalability. Our
experimental results with Graph2Seq show strong generalization and new
state-of-the-art performance on a variety of graph combinatorial optimization
problems."
